category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website,dist_motorway_m,dist_primary_m,dist_secondary_m,road_accessibility_score
banque_finance,5685981501,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5447083,-7.6791,,,,,4139.0,1463.0,12.0,0.48
banque_finance,5685981512,node,Credit Agricole Du Maroc,bank,33.5469885,-7.6809903,Boulevard Oued Daoura,,,,4428.0,1771.0,16.0,0.473
banque_finance,5686056228,node,Banque Populaire البنك الشعبي,bank,33.5235568,-7.7497856,,,,,6450.0,2219.0,21.0,0.465
banque_finance,5686129278,node,Baird Cash,bank,33.5463922,-7.6728666,Boulevard HH 48,,,,4229.0,1099.0,22.0,0.463
banque_finance,5686129311,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5455662,-7.6729336,,,,,4139.0,1056.0,15.0,0.475
banque_finance,5686168724,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5453029,-7.6734352,,,,,4114.0,1083.0,11.0,0.482
banque_finance,5686322672,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.533183,-7.6514049,,,,,3173.0,20.0,344.0,0.768
banque_finance,5686322677,node,Banque Populaire البنك الشعبي,bank,33.5332635,-7.6518099,Boulevard al Quds,,,,3162.0,16.0,382.0,0.774
banque_finance,5688433308,node,Attijarawafa Bank,bank,33.5257296,-7.6508443,Boulevard Abu Baker el Kadiri,,,,2524.0,724.0,37.0,0.438
banque_finance,5688433309,node,Crédit agricole du Maroc القرض الفلاحي,bank,33.5258045,-7.6507947,Boulevard Abu Baker el Kadiri,,,,2533.0,715.0,30.0,0.45
banque_finance,5688804442,node,BMCI Bank,bank,33.5410571,-7.6431906,Boulevard de Fès,,,,4265.0,304.0,29.0,0.452
banque_finance,5688804443,node,Crédit Agricole du Maroc القرض الفلاحي للمغرب,bank,33.541293,-7.6431745,,,,,4290.0,280.0,53.0,0.412
